order,pattern_oldest_to_newest,count,P_next_is_R
1,L,13178365,0.556548
1,R,13177499,0.443415
2,LL,5843967,0.574783
2,LR,7334397,0.457959
2,RL,7334397,0.542019
2,RR,5843102,0.425160
3,LLL,2484952,0.583122
3,LLR,3359015,0.468561
3,LRL,3975547,0.549067
3,LRR,3358850,0.431100
3,RLL,3359015,0.568615
3,RLR,3975381,0.449000
3,RRL,3358850,0.533676
3,RRR,2484252,0.417128
4,LLLL,1035922,0.587670
4,LLLR,1449030,0.474085
4,LLRL,1785110,0.555039
4,LLRR,1573905,0.436625
4,LRLL,1792704,0.572309
4,LRLR,2182843,0.453569
4,LRRL,1910850,0.537399
4,LRRR,1448000,0.420608
4,RLLL,1449030,0.579871
4,RLLR,1909985,0.464371
4,RLRL,2190436,0.544200
4,RLRR,1784945,0.426228
4,RRLL,1566311,0.564386
4,RRLR,1792538,0.443436
4,RRRL,1448000,0.528765
4,RRRR,1036252,0.412266
